"Project ID","ARB ID","Cooperative/ Aggregate ID","Project Developer","Project Owner","Project Name","Offset Project Operator","Authorized Project Designee","Verification Body","Project Type","Status","ARB Project Status","Project Site Location","Project Site State","Project Site Country","Additional Certification(s)","SDG Impact","Project Notes","Total Number of Offset Credits Registered ","Project Listed Date","Project Registered Date","Documents","Data","Project Website",
"CAR1460","NA","CARC1397","The Climate Trust","The Nature Conservancy","54 Ranch","","","","Avoided Grassland Conversion","Listed","Not ARB Eligible","Mussellshell County, Montana","MONTANA","US","","","","","01/05/2021","","View","View","",
"CAR1458","CAOD6458","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 1-2021","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","84267","11/20/2020","01/28/2021","View","View","www.agasamericas.com",
"CAR1481","CAOD6481","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2-2021","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","56964","03/16/2021","06/09/2021","View","View","www.agasamericas.com",
"CAR1295","CAOD5389","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-3","Reclamation Technologies, Inc. dba A-Gas","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","97831","01/31/2018","05/05/2018","View","View","www.agasamericas.com",
"CAR1296","CAOD5405","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-4","Reclamation Technologies, Inc. dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","110290","02/10/2018","07/18/2018","View","View","www.agasamericas.com",
"CAR1303","CAOD6303","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-5","Reclamation Technologies, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green, Wood County","OHIO","US","","","","102700","06/28/2018","08/17/2018","View","View","",
"CAR1305","CAOD6305","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-7","Reclamation Technologies Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Completed","Bowling Green, Wood County","OHIO","US","","","","159218","06/28/2018","09/07/2018","View","View","",
"CAR1311","CAOD6311","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-8","Reclamation Technologies, Inc. dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Wood County, Bowling Green","OHIO","US","","","","128012","06/08/2018","10/31/2018","View","View","www.agasamericas.com",
"CAR1312","CAOD6312","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-9","Reclamation Technologies, Inc. dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Wood County, Bowling Green","OHIO","US","","","","93703","06/08/2018","10/31/2018","View","View","www.agasamericas.com",
"CAR1318","CAOD6318","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2019-1","A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Active ARB Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","138241","09/20/2018","03/25/2019","View","View","www.agasamericas.com",
